ticker,spot,vol_30d,corr_3m,corr_6m,corr_12m,put_pct_3m,put_pct_6m,put_pct_12m,hedge_cost_3m,hedge_cost_6m,hedge_cost_12m,ytd_return,1y_return,score_long,score_short
EWY,126.7300,0.525860,-0.073982,-0.003065,-0.009507,0.133160,0.179434,0.236057,33290.10,44858.61,59014.21,0.239777,1.013887,0.229821,0.210009
IWR,99.2800,0.144146,-0.073726,-0.018474,-0.013546,0.030603,0.038289,0.045300,7650.67,9572.32,11324.96,0.020140,0.238093,0.414311,0.349197
VALE,14.9700,0.469965,-0.073120,-0.045439,-0.078036,0.118919,0.160206,0.210706,29729.87,40051.41,52676.38,0.128959,0.373096,0.286534,0.240736
SLG,38.7500,0.473709,-0.072313,-0.120977,-0.101427,0.119881,0.161508,0.212430,29970.22,40376.98,53107.49,-0.174830,-0.161903,0.297063,0.224328
XLI,169.9400,0.164271,-0.072086,-0.030443,-0.012584,0.036097,0.045831,0.055384,9024.37,11457.73,13846.07,0.075706,0.426448,0.415409,0.347716
PODD,237.0100,0.326507,-0.071876,-0.045738,-0.067272,0.081018,0.108290,0.140891,20254.49,27072.54,35222.79,-0.162272,0.350561,0.399427,0.337519
COLD,12.5100,0.529697,0.070780,0.116225,0.076942,0.134129,0.180738,0.237767,33532.35,45184.58,59441.87,-0.033230,-0.474720,0.164104,0.269750
CRL,174.4600,0.518596,-0.069369,-0.044022,-0.006312,0.131323,0.176961,0.232808,32830.74,44240.13,58202.08,-0.138129,-0.354497,0.240154,0.211000
MARA,8.0100,1.143292,-0.069004,-0.049445,-0.096273,0.278100,0.368698,0.473752,69524.90,92174.41,118438.04,-0.191725,-0.632569,0.034295,-0.034295
OVV,52.2500,0.364455,-0.068954,-0.042254,-0.022425,0.091284,0.122481,0.160212,22821.10,30620.33,40052.91,0.290442,0.124473,0.363111,0.331472
ATKR,61.4100,0.301913,-0.068825,-0.052352,-0.091426,0.074231,0.098838,0.127891,18557.80,24709.48,31972.85,-0.042131,-0.626161,0.422090,0.335217
AM,22.9700,0.184980,-0.068144,-0.111084,-0.104413,0.041785,0.053676,0.065968,10446.18,13418.96,16491.93,0.295922,0.911141,0.435455,0.327175
CNX,41.4900,0.382952,-0.068129,-0.017040,-0.008308,0.096215,0.129259,0.169368,24053.85,32314.68,42341.99,0.137959,0.971958,0.342915,0.322077
EWZ,36.2800,0.297198,-0.067912,0.003295,-0.028301,0.072917,0.097000,0.125350,18229.13,24249.94,31337.58,0.126708,0.248984,0.408818,0.350191
VUG,458.0800,0.162727,-0.067519,0.015162,-0.001807,0.035675,0.045249,0.054603,8918.63,11312.23,13650.64,-0.057836,0.349461,0.406365,0.356793
FR,59.8500,0.200648,-0.065231,-0.053085,-0.053484,0.046104,0.059655,0.074082,11526.12,14913.63,18520.47,0.033679,0.205371,0.420721,0.341484
IJH,68.2200,0.166313,-0.063980,-0.005554,-0.015987,0.036657,0.046601,0.056419,9164.20,11650.21,14104.82,0.019579,0.181996,0.409967,0.353113
TENB,21.0400,0.664489,0.063868,0.053957,0.029207,0.167557,0.225388,0.295737,41889.35,56346.89,73934.35,-0.074351,-0.549658,0.075887,0.149849
CAVA,78.5900,0.867393,-0.062901,-0.013741,-0.006021,0.215869,0.288842,0.376126,53967.32,72210.46,94031.44,0.297936,0.273331,0.018388,-0.018388
MWA,27.9300,0.236591,-0.062077,-0.047484,-0.010153,0.056054,0.073473,0.092955,14013.48,18368.35,23238.84,0.169426,0.813526,0.414212,0.346898
MDY,623.0800,0.166010,-0.061489,-0.003952,-0.015157,0.036574,0.046486,0.056265,9143.42,11621.61,14066.35,0.019254,0.177009,0.409024,0.354063
IWN,190.4100,0.183661,-0.061390,-0.025453,-0.023520,0.041422,0.053174,0.065289,10355.46,13293.58,16322.20,0.041232,0.277722,0.412849,0.349814
CBOE,301.2700,0.231569,-0.061310,-0.112748,-0.076164,0.054661,0.071535,0.090300,13665.27,17883.86,22575.04,0.217258,0.667751,0.430492,0.330780
XLU,46.7400,0.150990,-0.060974,-0.069125,-0.084772,0.032467,0.040843,0.048703,8116.74,10210.76,12175.73,0.082446,0.560051,0.425785,0.337606
CROX,86.0000,0.605037,-0.060610,0.018671,0.070421,0.152955,0.205961,0.270658,38238.87,51490.27,67664.61,-0.010926,-0.306452,0.153862,0.163242
ICLR,107.2000,1.639924,-0.059639,-0.063345,-0.037772,0.380900,0.495508,0.619092,95224.90,123876.99,154772.95,-0.431812,-0.684706,0.028189,-0.028189
